Account,Token Account,Quantity,Percentage
HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,DpKh96XhLa4xnYQAMfFkk6nEQX4KxZG68A3b9oxk8oEz,855954654.2328646,85.63
ERv2Px1HMLzGK5AigC9enSSYkYnFFeYvKgeSY96Vuk3m,A9DKPQU6mKjnsoL7oAahiKn2qaPXmDY58VD3ffPjGXkh,26780879.657591444,2.68
EEppJZVdK8iBmnHoKnhWMfNuHFUJrXS1ddGN5UbMM5mV,8zzE9KgcH2taQxtbh82peSKMwiG5jF4RhHNN7cYMJqtw,18401586.40175033,1.84
HJXa57WZozLegR8rvUbHAZK1LPUqjMyjvkdoHfXE8dNH,1VewsHn3KRQUMCqDvbUFZDWXK2XDKQgLfRzg1J2PvL9,14216679.674867172,1.42
Gr8n4PpCXqMxPQ2AC4kArh7ivxM1sWeAz8vVanBVXMrm,4fNS6UqBwkyH5vf2X7SJ66VTiz5L1MTmyyrMEVTY65zr,12425453.37346346,1.24
6MZK7gkkA5JBaYsBfc8jv5XeoBJYDzYKBSXfr3GTQQkH,J89kCQwcTCJppjHKirXKjUbmwNmtGTyLv9j4wF4YEGdu,11211312.685295014,1.12
6Z5CUGrVNnMqbRR43dS4y2qgqbUgfvoKyh6ZrideJVRL,HkyTqCUP6jPp9ghBzoJUWvUD2qwKTn6ANiQ1mjVDetYq,11203780.147641731,1.12
9nsgdXLN1Hyog4FhiwBH89zETzXu98PukMFJftfi46wH,C3GDYVtVnJ2ARvoThmoKj1Uwtkr7KLCsRnPb6UUmps88,8597233.703917883,0.86
ECaPx65TXXwFHUZdfmKU1wVGU6YptNwuT2j3uuF8MxtR,H5si6s8fGSAQS7JpmopAi3pVzFH65K8YFeSLuXKPvLnn,8282852.823283805,0.83
A8BwYZBnfvKGG3BZgRv7frxd18WQ5mJCKuTZGC7v5gAs,A7EiniuVGmNpXxZLmd6L8TSEEbepw8WjWuX397kbk12t,5036928.566135611,0.50
UxDh5iCXxKKfdKeeXptm7PN7YmHb1r53H4fi9WzhFbT,H6i2ZuSFsvbzn6coeL9cs4ijA3viuuj1mHeHPc9vKn4D,3467645.634697636,0.35
WXquQPTcEjjysE99cHQL5zpwxJNxgdrj9gYdsWZAmPw,6oDCLLWPXPFpndJbz8p4MQ37Au5XzwXLrzHmXJTXXQC,2477523.797151989,0.25
2vXFARFP5MXn65rDrUMmzhHGcLzUkAqjFSbTyBAFMpGi,drsAVZZ1qcVP8CfuosVAf8uqDctp9oTj7FHY19WCqh5,2460518.369597678,0.25
57Wb9oirTZ6frDky2Tmy7DA5UUa724MsmudrUriCSsiH,3BFix5TuBArwXWwdTd8XfkSKzKwiMbpCd6RdgzSc9xHe,2167761.168731515,0.22
Dvv9zZrMnJLvKFNb7NtqSwRVsweQQL2RFTA3cbgavPkG,4SE6xYXcWERqfPPsucphtMCC2cWe1go2DNPtmoJNegqg,1983653.544797717,0.20
6B7JWaumobHVrMkhfEsXgdQMQjDna5Yo5SE1S5Dn9tv2,8NDXbeD3aCTGNusdfWB33RSKXLsKP4sQLVUjteBqh9RZ,1914927.703398283,0.19
4q6Nk3evBpHFucCCSDdjTjRtZHDemD7oh4Ho5fhSfAGn,4LNGMUDE7un9xim2WKJLUo7C1uRrP4pfcXUGSTURQZjk,1246171.760820624,0.12
2J9pc4rduwKZh9sJPVLzL6cGNsqhb7PdLfHMNWZLVr7M,CVY91fgNrCLCFZ1RpcQuT6kQPp7XALwTmzthrdTLFCYu,1114974.44523563,0.11
9CPqeqJp27ae1BioxmExZxU7DW19kB7s5cbDP4W2F66D,6sRum91B3yaGRuwzF4V22N9jQ5vMLWXa5s1MTUhYkRbD,1111636.230241981,0.11
3R8ApBzJWU4fV5pJyFgZvd8RSvwHYHMMqGq6KmrWCEqP,ALXZhfoPKUCyLX3fLeEzpnAoduAiw4irdwyNnV3GhGXJ,1032854.439207864,0.10
3B1tAYo9ScKWYjdDGutuEzd1REDHy79Q8Z4NWKVV5RfV,A6ShzJW9nnoVoD2TVjFMniRgNLnSTTRXsDqsFF6efjp3,990922.943986709,0.10
HBvEyWbDYLEdQckT5YxzFRHqPs2Ze4YsDjbW6dReZ69m,C9suMo7GduDGFwZiNtvs591pqvELthp9tP5eY2P44s2L,970391.635351053,0.10
FkjwuEZu9Fr3YfB55aGLwmhYRxrAdjZa355yhWzXU9JG,GwSGzGtQ6yU6dBoXCdzYZQUdWVRbSg9qR7Zgt2QAYskN,663753.274089975,0.07
7cQhv7pCgzmz1Kaz5dCas64nB3FiEAFjaej4HqGeuHnB,6BkwHg9kvpU45oyHczL4gWukCbTXedhjZeySrGiKXjYs,619177.533271362,0.06
dc3cGgzv7mze8bxjMua1kdnELUY8KVAFem3PrPHAX5C,EzHsAGZPwA4gCgNahenW3zBbPjMd5ANea7wk9HvJF3Ki,505837.203419928,0.05
8uQoaSEZMbbZXzvmHasU9E3n4nUpYiBkKFxPYzqRMhYK,5J95bbSSyLzE4fVcXiDmRWjMswwqWCLGAYEkQNxfGvpU,495744.703581773,0.05
Grsme69vd1zf72mhV3vm1QDsUtxxM4AyTCZCzfkzqWJm,G1nxM41uaQwL367sADyP6iWYtWYhFisyeMkPXBEEh8DA,495613.248133418,0.05
7MuddGTqPRss6zB61qGcvueC6nwJkKWEqMuNEhDLbE8d,CAmRRLzoeBfSdngAiYfKRXernn6LH6C5UHUR2Hvy7kth,492793.705194341,0.05
6mVRSQzyZkotjXoXCJ4GHXPsfWpeqgzpK8avFWZoZ1o9,5Q67KddUagWk2cdTgsonLHBK4uJkgkTmc6rGLpCSwWW5,461704.809767654,0.05
2hZT47jh3nPzVZVdUv3pyYNpLwdywRTvqv2mVmbqZJXz,8TFk8gNCRoac6KRcwHWejH3V8H1khMhudGtZcYbZQkiR,382868.04541064,0.04
E2QDeUhSD4FohhRAXSsDGq6Zp1sejNGNWhCHpPorZww6,4mgnsMqczGP4yt8BUnuhHiH91vjPGsEgKLPuudRCAgj6,352973.534718525,0.04
FhVo3mqL8PW5pH5U2CN4XE33DokiyZnUwuGpH2hmHLuM,ABAkkzhy74AczZ1xd39NJTNwPWvbDgnXwWA7LWigLTKn,340001.111689485,0.03
QGTPcdcSBHFcpB1ytsbK37TfrZ1Fm4Gv55bRZZpj5W7,TtUFcfBhziSfpifMokgr5Ez2Tm2rcz3S94fGQEVBGCZ,288695.198422906,0.03
HFqp6ErWHY6Uzhj8rFyjYuDya2mXUpYEk8VW75K9PSiY,7VPH72ZsRgNm9J2SCSTntK6j8T1N7pcecWQbCLeuVzZm,185516.025886844,0.02
F9snByw4nsCWZ1AdH6VqLYXwXYRkGqBqLfK87wAneCs3,Dci3ZECCEMBBPfvcQpNrSwAcG7bWb6Rt5MMqtS4VDzPq,180550.092627497,0.02
8psNvWTrdNTiVRNzAgsou9kETXNJm2SXZyaKuJraVRtf,4xF3vri5dNn3SoSPy7ZLrHuoE7anacfDDTa6BDFZq725,173263.846112094,0.02
AGp14Cs2HiXiuNSw2QjFk1ZPW2idJpsZPcTnWFQ7sqnk,7qe14AuD9Q5LoYjJjWDKd2DR8LqoavqYTtFiYv56Ct3z,168709.776373642,0.02
5vQNgK4opVAYV7hojNSfNWRYMGscwLdy64BYxRn8UZCC,CxyNeAo4QYq35vpVvFJsDsfRr5jNNdBDgB3gJJUt3EQE,151461.738727011,0.02
AmrtT9vD5QuF5C7TRkmgmYCksTRxFyLXf511yC5Xzytz,F6mhATvGBgd6hTPXEV9EySQdj2F5LumfwwWo3vWndvrP,147176.502817877,0.01
DSN3j1ykL3obAVNv7ZX49VsFCPe4LqzxHnmtLiPwY6xg,QFhCR8aaqhs6yGfd5CZe8ZDEnuSnUkcyHK6Zsdd3C8E,109924.82995407,0.01
3LoAYHuSd7Gh8d7RTFnhvYtiTiefdZ5ByamU42vkzd76,ESKQreRbMhKPK95ebPaPfnrsSWDkQxcSc9us5VWRzJni,73844.866380682,0.01
2vB2DPsD5ESoNwMdpEn2XZqJBD4ScM8RHqY826PTRd7c,C2zzWhftXiRUeSqrEk1JcFz5qbTBYu2Z862HVVhBWJ5P,70138.902779717,0.01
2fochSnGYZhSG5G1Tgx8uPX611pHTzXEKAJwPySfkweu,BBXwbL6ysCZ5o2QzDLHXM7j3U1mVB8cJ2TMwDeG4nBR6,56530.368072755,0.01
69yhtoJR4JYPPABZcSNkzuqbaFbwHsCkja1sP1Q2aVT5,JDLc7BR6YYxzjRUQToQpaReRoPK1wecoEspYXrEvVuLm,33917.80348546,0.00
2EtfGYZU9e9Bq7K6DNxSbxPbh3ZzEjvutNEasu4ENshQ,7rrHuknUAVneHaHJ6pNLsiVP3zfqefN7fshnYYsKBsT5,28419.064860795,0.00
GP8StUXNYSZjPikyRsvkTbvRV1GBxMErb59cpeCJnDf1,26hab9K646QPvATvqkcyNb8C5MAcCf88cQeNWMw8oKPE,27594.832344405,0.00
HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,e79zyWKYxZxEgkaW2ZPbib9LdUCfsGR49H6tyHZBDfG,25703.797702848,0.00
C62fiUFZ84NoAxBeyfNCgem7owMGmfFLnyHF12Zxt7rS,D8Enz7qqdJLjouiRQvCJRGUpxmgWt3rQgL1L4k3bXpw2,17769.270435948,0.00
3CgvbiM3op4vjrrjH2zcrQUwsqh5veNVRjFCB9N6sRoD,5se5ex1MwoB6nYUg8X7BUAzLKeaAhhq88F9gFsB5CDnW,13777.709311721,0.00
9FctyMNzWXZFrqdMK9KkT1xZYb6k4cJ7GFQnto6LPmH8,1QUnUsoHHfYwzpEVCWXhTPo2PFJMamTuXMvRChTwUbK,12646.279456538,0.00
2fdRJpym179CknEDMEPzyLymh65LX1u13b5r19FidQqY,C8g3f1unRvXt4m69Z8U1tvSdTPcxeuYZjpE9Yiy7ohJi,11375.812647195,0.00
3Mvt5X2zNukVLnRcbFm4sSZkXWQsTU1TkymkauZk7Jru,7GUzfUDNwk6eto4XRcHhieRniW6pEm131bPQQXxBGsMe,5133.103960543,0.00
D9GYt4W7VvteKCSvTgyjzuiBJyTy94Kmr6YiC9fbxGjW,BiwTvL4nceLvULfGaxwrnZEurvRb1DveyBneWqbGHSvw,3539.413452088,0.00
HU23r7UoZbqTUuh3vA7emAGztFtqwTeVips789vqxxBw,8QEmmtjRKcpvgUWJeoqTTEzvSWNAiBAU4SpmH3PRG3DZ,2505.620087401,0.00
54Pz1e35z9uoFdnxtzjp7xZQoFiofqhdayQWBMN7dsuy,56VR5dNwFDst75cNqPhtP13QcgjccLzwKRJcR4WgBUPV,583.360960019,0.00
q2ctpRP1aExL4UkG3gnM3r4JSfkKqChbCMg4tYgoizU,ZZ8n9vHGiVzyUJxRPTAoPfFQD7XCVhPASYG1drGPm8V,559.384865309,0.00
EZsG7uXASYhVKL7hwdamfhQoPKxNg7V1RuQVEgckAEVX,Y8NAZwoFY4ywcz7EF8n4YHn8tPgsAsNW1XTgNYkPG1b,67.191666711,0.00
5xmtuFEcSArg5Kc5f9M2mUvDZce43XKAN6K3Dyc4LBc1,HpmtmQny2znyApjAjkcpp27JEHwvRgRVoeRgLHuQakg,4.965875624,0.00
Bt3EcqrkAGoSpAgHzn1MxRrkuvh5aQ1c7RzF9brgShME,7LTNAbvfSggKuTt82HzPvuqHvEUMSEaVeppjHPGhAx9C,0.227854269,0.00
BM9CcyErJcu2mjrFvUsRRrD3snGeHDDVirJLvL6EjvMN,3aZftPgZ8aQUZEuSTGiP3fxSVmDL3ViroLCttNBcx7jy,0.059804321,0.00
DVnkk8H1MsaU2NT3RHzN24mSUtEfQxWZWbMvwNvqR896,F7QfCB2n6soHXHnhDFJDvUnJXL3GKbxurCm4ngrvN2tM,0.005548749,0.00
5W4gWaspVuuAnfhBG7S3Q4tUfSG2WzMgEhyqMY8kGTh5,3UqfcsXueg6w9u74MwZc3inrqJ65mTkpdauAFQt3rPvr,0.000004051,0.00
HGhSo1X8Xuz1ffkEdJfeKZC2sDvtJ3Kuavay9XSxpF4r,5yzWA5GNtS7qPxBoh5hSVbCQWB1HVvGgZzcNwVs1FLZJ,7.51e-7,0.00
55to2acFdh6VSKQAusqg7ZBBMUDiowDZxk19zPBogf4A,CgCozXd8mMS1obqX31BSyMDPBWq8BBxAycMtCT9z6NpZ,4e-9,0.00
DVSdHyyeztbdkqnVtrSg8LcdowZVVodansrxuXwfB4Re,6o1eijqcmmY41rFWpYydvPDA3srNMpsJZw1haxtbLb1A,2e-9,0.00
85mkT3fa4XiwksvMS2BhaNivNgXREKxPnPdcdhWm3bNt,FpHMkKTyYwhhnNUXkuqJt459atNhAq9UfDxjJwiBLE43,1e-9,0.00
G2F5GpSm1toVsMdMbHoLexpWDhFdWRFsV1wQr3xEo9tS,5NFjodWBQZrMEYBqXcnrtZNnFzqwbyU1utRY4qvTg4rn,1e-9,0.00
